teamscorepos,dateloc,possessions,totalDrama,perDrama
200 Old Dominion 55 315 Rice 51 [62],"Thursday, February 20, 2014 7:00 pm ET Constant Convocation Center Norfolk, VA",62,3.6237,0.028310156
123 Denver 75 256 Western Illinois 67 [53],"Thursday, February 20, 2014 9:00 pm ET Magness Arena Denver, CO",53,3.0003,0.028304717
190 Fordham 83 269 Loyola Chicago 69 [64],"Monday, December 23, 2013 4:00 pm ET Rose Hill Gym New York, NY",64,3.6229,0.028303906
204 Northern Colorado 83 289 Montana St. 73 [64],"Saturday, February 15, 2014 9:05 pm ET Butler-Hancock Hall Greeley, CO",64,3.6492,0.028288372
165 Northeastern 63 26 Georgetown 56 [65],"Thursday, November 21, 2013 12:30 pm ET Coliseo Roberto Clemente San Juan, PR",65,3.6488,0.028285271
22 Baylor 66 113 South Carolina 64 [65],"Tuesday, November 12, 2013 3:00 pm ET Ferrell Center Waco, TX",65,3.7617,0.028283459
252 Mount St. Mary's 73 295 Sacred Heart 60 [72],"Thursday, February 6, 2014 9:00 pm ET William Pitt Center - West Gym Fairfield, CT",72,4.07,0.028263889
106 Middle Tennessee 78 270 Southern 75 [69],"Sunday, November 10, 2013 5:00 pm ET Murphy Athletic Center Murfreesboro, TN",69,3.9565,0.028260714
93 St. Bonaventure 84 75 Richmond 70 [72],"Wednesday, January 8, 2014 7:00 pm ET Reilly Center St. Bonaventure, NY",72,4.1813,0.028252027
307 Portland St. 67 351 Southern Utah 64 [64],"Saturday, January 25, 2014 10:05 pm ET Stott Center Portland, OR",64,3.7521,0.028211278
115 La Salle 71 52 Saint Joseph's 63 [66],"Sunday, March 9, 2014 4:00 pm ET Hagan Arena Philadelphia, PA",66,3.7748,0.028170149
78 Nebraska 82 28 Minnesota 78 [70],"Sunday, January 26, 2014 6:00 pm ET Pinnacle Bank Arena Lincoln, NE",70,4.0562,0.028168056
338 Texas Pan American 70 304 UTSA 55 [63],"Thursday, November 21, 2013 8:00 pm ET UTSA Convocation Center San Antonio, TX",63,3.4363,0.028166393
277 Florida A&M 76 300 North Carolina A&T 66 [68],"Monday, January 13, 2014 7:30 pm ET Al Lawson Center Tallahassee, FL",68,3.7741,0.028164925
77 Richmond 70 160 Northeastern 66 [61],"Tuesday, December 31, 2013 2:00 pm ET Matthews Arena Boston, MA",61,3.6043,0.028158594
90 Manhattan 84 99 Canisius 73 [74],"Friday, February 7, 2014 7:00 pm ET Koessler Athletic Center Buffalo, NY",74,4.2229,0.028152667
171 Northwestern St. 88 172 Oral Roberts 82 [76],"Saturday, March 8, 2014 4:00 pm ET Prather Coliseum Natchitoches, LA",76,4.3062,0.028145098
60 Drexel 70 114 Rutgers 59 [67],"Tuesday, November 19, 2013 7:30 pm ET Louis Brown Athletic Center Piscataway, NJ",67,3.8268,0.028138235
115 Portland 76 173 Santa Clara 64 [61],"Saturday, February 1, 2014 10:00 pm ET Leavey Center Santa Clara, CA",61,3.5172,0.0281376
336 Nicholls St. 62 276 IUPUI 56 [64],"Wednesday, December 18, 2013 7:30 pm ET IUPUI Gymnasium Indianapolis, IN",64,3.6859,0.028136641
112 Portland 71 142 Loyola Marymount 57 [69],"Thursday, January 16, 2014 10:00 pm ET Albert Gersten Pavilion Los Angeles, CA",69,3.9092,0.028123741
117 Boston University 71 111 American 62 [63],"Wednesday, February 19, 2014 7:00 pm ET Agganis Arena Boston, MA",63,3.6544,0.028110769
208 Yale 93 180 Central Connecticut 77 [78],"Saturday, November 9, 2013 5:30 pm ET Webster Bank Arena at Harbor Yard Bridgeport, CT",78,4.3556,0.028100645
26 Massachusetts 69 183 Eastern Michigan 57 [67],"Tuesday, December 3, 2013 7:00 pm ET Convocation Center Ypsilanti, MI",67,3.7886,0.028063704
299 Austin Peay 78 323 Montana St. 72 [76],"Saturday, November 23, 2013 5:30 pm ET McGuirk Arena Mt. Pleasant, MI",76,4.3215,0.028061688
65 Stephen F. Austin 85 168 Northwestern St. 78 [69],"Friday, March 14, 2014 6:00 pm ET Leonard E. Merrell Center Katy, TX",69,3.9552,0.028051064
293 Campbell 73 233 Appalachian St. 66 [64],"Tuesday, November 12, 2013 8:00 pm ET Holmes Convocation Center Boone, NC",64,3.7237,0.027997744
347 The Citadel 86 306 UNC Greensboro 76 [72],"Friday, March 7, 2014 4:00 pm ET U.S. Cellular Center Asheville, NC",72,3.8913,0.027994964
50 Clemson 58 69 Miami FL 54 [52],"Tuesday, March 4, 2014 8:00 pm ET Littlejohn Coliseum Clemson, SC",52,2.9393,0.027993333
72 St. John's 69 90 Georgia Tech 58 [68],"Saturday, November 30, 2013 2:00 pm ET Barclays Center Brooklyn, NY",68,3.9189,0.027992143
129 Middle Tennessee 77 192 North Florida 70 [71],"Wednesday, November 13, 2013 8:00 pm ET Murphy Athletic Center Murfreesboro, TN",71,4.1116,0.027970068
310 Furman 75 306 UC Davis 65 [64],"Monday, December 30, 2013 10:00 pm ET The Pavilion Davis, CA",64,3.5795,0.027964844
109 American 66 283 Lafayette 61 [62],"Saturday, January 18, 2014 2:00 pm ET Bender Arena Sports Center Washington, DC",62,3.5209,0.027943651
26 Xavier 86 45 Marquette 79 [67],"Thursday, January 9, 2014 9:00 pm ET Cintas Center Cincinnati, OH",67,3.8002,0.027942647
300 SIU Edwardsville 87 310 Tennessee Martin 82 [68],"Saturday, January 25, 2014 5:00 pm ET Skyhawk Arena Martin, TN",68,3.8797,0.027911511
146 Arkansas St. 74 288 Texas St. 69 [66],"Saturday, January 4, 2014 5:30 pm ET Strahan Coliseum San Marcos, TX",66,3.767,0.027903704
175 Loyola Marymount 76 303 Marist 70 [68],"Saturday, November 23, 2013 2:30 pm ET Virgin Islands Sport &amp; Fitness Center St. Thomas, Virgin Islands",68,3.8785,0.027902878
239 Evansville 104 154 Illinois St. 98  (OT) [89],"Wednesday, February 12, 2014 8:05 pm ET Ford Center Evansville, IN",89,5.0503,0.02790221
240 Eastern Michigan 69 126 Robert Morris 64 [70],"Thursday, November 14, 2013 7:30 pm ET Bowen Arena Ypsilanti, MI",70,3.9578,0.027871831
318 UNC Greensboro 73 179 Wofford 71 [60],"Saturday, March 1, 2014 7:00 pm ET Johnson Arena Spartanburg, SC",60,3.4261,0.027854472
124 Miami FL 48 233 Cal St. Fullerton 46 [60],"Friday, November 29, 2013 6:00 pm ET Titan Gym Fullerton, CA",60,3.3972,0.027845902
239 TCU 72 150 Tulsa 65 [66],"Friday, November 29, 2013 9:30 pm ET Sullivan Arena Anchorage, AK",66,3.6121,0.027785385
31 Stanford 83 12 UCLA 74 [67],"Saturday, February 22, 2014 6:00 pm ET Maples Pavilion Stanford, CA",67,3.6396,0.027783206
325 St. Francis PA 74 303 LIU Brooklyn 58 [64],"Saturday, February 8, 2014 4:30 pm ET Wellness, Recreation and Athletic Center Brooklyn, NY",64,3.6116,0.027781538
6 Kentucky 68 155 Cleveland St. 61 [63],"Monday, November 25, 2013 7:00 pm ET Rupp Arena Lexington, KY",63,3.527,0.027771654
131 Rutgers 66 190 Canisius 51 [62],"Monday, November 18, 2013 7:30 pm ET Louis Brown Athletic Center Piscataway, NJ",62,3.5265,0.027767717
240 Winthrop 85 166 Charleston Southern 68 [67],"Saturday, January 11, 2014 2:00 pm ET Winthrop Coliseum Rock Hill, SC",67,3.7478,0.027761481
161 Missouri St. 77 91 Indiana St. 66 [68],"Saturday, February 22, 2014 1:00 pm ET JQH Arena Springfield, MO",68,3.8289,0.027745652
325 Delaware St. 79 339 Bethune Cookman 67 [58],"Saturday, February 15, 2014 4:00 pm ET Moore Gym Daytona Beach, FL",58,3.2698,0.027710169
36 Arizona St. 79 72 Marquette 77 [64],"Monday, November 25, 2013 9:00 pm ET Wells-Fargo Arena Tempe, AZ",64,3.5469,0.027710156
141 Eastern Kentucky 76 321 Longwood 67 [64],"Saturday, December 7, 2013 4:00 pm ET Willett Hall Farmville, VA",64,3.4913,0.02770873
80 Boise St. 75 142 Nevada 62 [68],"Thursday, March 13, 2014 11:30 pm ET Thomas &amp; Mack Center Las Vegas, NV",68,3.7679,0.027705147
217 Hampton 71 346 Maryland Eastern Shore 65 [63],"Monday, February 10, 2014 8:00 pm ET Hampton Convocation Center Hampton, VA",63,3.5185,0.027704724
190 UT Arlington 69 248 Texas St. 62 [65],"Saturday, February 15, 2014 8:30 pm ET College Park Center Arlington, TX",65,3.6568,0.02770303
290 UC Riverside 81 326 UC Davis 69 [67],"Thursday, January 16, 2014 10:00 pm ET The Pavilion Davis, CA",67,3.7398,0.027702222
195 Rhode Island 75 163 Brown 66 [72],"Thursday, January 2, 2014 6:00 pm ET Paul Bailey Pizzitola Sports Center Providence, RI",72,3.9599,0.027691608
104 Toledo 79 308 Florida A&M 69 [71],"Monday, November 18, 2013 7:00 pm ET Savage Hall Toledo, OH",71,3.9595,0.027688811
50 BYU 68 107 San Francisco 63 [66],"Saturday, February 8, 2014 9:00 pm ET Marriott Center Provo, UT",66,3.7362,0.027675556
89 Vermont 67 233 Hartford 60 [66],"Wednesday, January 29, 2014 7:00 pm ET Chase Family Arena West Hartford, CT",66,3.5701,0.027675194
108 Boston University 66 195 Colgate 58 [62],"Wednesday, January 15, 2014 7:00 pm ET Agganis Arena Boston, MA",62,3.4314,0.027672581
205 College of Charleston 76 182 Davidson 64 [67],"Wednesday, January 1, 2014 2:00 pm ET Belk Arena Davidson, NC",67,3.8161,0.027652899
298 Jackson St. 68 343 Tennessee Martin 64 [70],"Friday, November 22, 2013 8:00 pm ET Skyhawk Arena Martin, TN",70,3.8705,0.027646429
227 Winthrop 71 342 Presbyterian 67 [65],"Wednesday, January 8, 2014 7:00 pm ET Templeton P.E. Center Clinton, SC",65,3.5663,0.027645736
159 Loyola Marymount 78 294 Grand Canyon 75 [76],"Friday, November 8, 2013 7:30 pm ET Jenny Craig Pavilion San Diego, CA",76,4.0915,0.02764527
179 Loyola Marymount 98 147 South Dakota St. 89 [81],"Saturday, November 9, 2013 6:30 pm ET Jenny Craig Pavilion San Diego, CA",81,4.5333,0.027642073
45 Green Bay 79 147 Wright St. 69 [68],"Friday, January 17, 2014 7:00 pm ET Nutter Center Dayton, OH",68,3.6475,0.027632576
2 Michigan St. 78 3 Kentucky 74 [70],"Tuesday, November 12, 2013 7:30 pm ET United Center Chicago, IL",70,3.9514,0.027632168
187 Holy Cross 73 188 Colgate 64 [62],"Wednesday, January 8, 2014 7:00 pm ET Hart Recreation Center Worcester, MA",62,3.536,0.027625
226 Wagner 75 303 LIU Brooklyn 68 [67],"Thursday, January 30, 2014 7:00 pm ET Wellness, Recreation and Athletic Center Brooklyn, NY",67,3.8396,0.027623022
68 Richmond 62 111 La Salle 49 [60],"Saturday, February 22, 2014 4:00 pm ET Robins Center Richmond, VA",60,3.3966,0.027614634
144 Eastern Kentucky 74 232 High Point 67 [65],"Saturday, November 16, 2013 8:00 pm ET McBrayer Arena Richmond, KY",65,3.5898,0.027613846
232 Air Force 77 240 San Jose St. 62 [70],"Wednesday, January 15, 2014 9:00 pm ET Clune Arena Colorado Springs, CO",70,3.8918,0.027601418
238 Evansville 61 177 Drake 48 [58],"Tuesday, February 25, 2014 8:05 pm ET Ford Center Evansville, IN",58,3.2844,0.0276
146 Louisiana Lafayette 85 133 Arkansas St. 67 [74],"Saturday, February 15, 2014 8:15 pm ET Cajun Dome Lafayette, LA",74,3.9182,0.027592958
135 Pepperdine 76 99 Portland 65 [66],"Saturday, January 18, 2014 8:00 pm ET Firestone Fieldhouse Malibu, CA",66,3.724,0.027585185
130 Nebraska Omaha 80 174 South Dakota St. 71 [70],"Saturday, January 18, 2014 5:00 pm ET Frost Arena Brookings, SD",70,3.917,0.027584507
17 Ohio St. 48 87 Illinois 39 [59],"Saturday, February 15, 2014 8:00 pm ET State Farm Center Champaign, IL",59,3.3377,0.027584298
198 Buffalo 81 174 Robert Morris 66 [71],"Tuesday, November 26, 2013 7:00 pm ET Alumni Arena Buffalo, NY",71,3.9438,0.027579021
172 Albany 74 125 Brown 68 [73],"Tuesday, December 10, 2013 7:00 pm ET Paul Bailey Pizzitola Sports Center Providence, RI",73,4.1053,0.027552349
272 Tulane 72 217 Florida Atlantic 64 [67],"Wednesday, February 26, 2014 9:00 pm ET Devlin FIeldhouse New Orleans, LA",67,3.8018,0.027549275
346 Maryland Eastern Shore 87 335 Howard 73 [73],"Saturday, February 15, 2014 4:00 pm ET Hytche Athletic Center Princess Anne, MD",73,3.9937,0.027542759
87 Texas Tech 60 215 TCU 54 [62],"Saturday, February 1, 2014 1:30 pm ET United Spirit Arena Lubbock, TX",62,3.3596,0.027537705
150 Pacific 75 131 San Diego 60 [68],"Wednesday, March 26, 2014 10:00 pm ET Spanos Center Stockton, CA",68,3.8257,0.027523022
294 Austin Peay 88 138 Youngstown St. 86 [76],"Saturday, November 30, 2013 7:05 pm ET Beeghly Physical Education Center Youngstown, OH",76,3.9903,0.02751931
32 Minnesota 81 7 Wisconsin 68 [58],"Wednesday, January 22, 2014 9:00 pm ET Williams Arena Minneapolis, MN",58,3.2188,0.027511111
338 Longwood 88 209 Charleston Southern 85 [68],"Saturday, January 25, 2014 5:30 pm ET CSU Fieldhouse Charleston, SC",68,3.7413,0.027509559
110 Princeton 57 154 Yale 46 [65],"Friday, February 28, 2014 7:00 pm ET L. Stockwell Jadwin Gymnasium Princeton, NJ",65,3.6574,0.027499248
211 Utah Valley 65 279 Grand Canyon 58 [63],"Saturday, January 11, 2014 9:05 pm ET UCCU Center Orem, UT",63,3.5746,0.027496923
206 Santa Clara 60 234 Cal St. Bakersfield 42 [59],"Thursday, December 5, 2013 10:00 pm ET Rabobank Arena Bakersfield, CA",59,3.3268,0.027494215
341 Mississippi Valley St. 75 331 Prairie View A&M 69 [76],"Monday, February 24, 2014 9:00 pm ET Leflore County Civic Center Greenwood, MS",76,4.1167,0.027444667
307 Savannah St. 75 263 Coppin St. 53 [65],"Saturday, January 11, 2014 4:00 pm ET Physical Education Complex Baltimore, MD",65,3.4003,0.027421774
290 Montana St. 77 351 Southern Utah 72  (OT) [75],"Thursday, February 27, 2014 9:05 pm ET Worthington Arena Bozeman, MT",75,4.1949,0.027417647
144 USC 77 29 California 69 [66],"Wednesday, January 22, 2014 11:00 pm ET Galen Center Los Angeles, CA",66,3.6455,0.027409774
7 Florida 67 43 Florida St. 66 [60],"Friday, November 29, 2013 7:30 pm ET Stephen C. O'Connell Center Gainesville, FL",60,3.3978,0.027401613
298 New Orleans 70 231 Texas A&M Corpus Chris 62 [79],"Saturday, January 25, 2014 7:30 pm ET American Bank Center Corpus Christi, TX",79,4.384,0.0274
328 UC Davis 62 133 Cal Poly 58 [58],"Thursday, January 30, 2014 10:00 pm ET Mott Gym San Luis Obispo, CA",58,3.2053,0.027395726
82 New Mexico St. 77 77 UTEP 68 [68],"Saturday, November 23, 2013 9:05 pm ET Don Haskins Center El Paso, TX",68,3.7526,0.027391241
305 Northern Illinois 55 260 Loyola Chicago 49 [61],"Wednesday, December 18, 2013 8:00 pm ET Gentile Center Chicago, IL",61,3.4231,0.0273848
334 Monmouth 88 299 Hofstra 84 [76],"Friday, November 8, 2013 7:00 pm ET Mack Sports Complex Hempstead, NY",76,4.2439,0.02738
329 New Hampshire 73 126 Stony Brook 69 [64],"Saturday, February 8, 2014 2:00 pm ET USB Sports Complex Stony Brook, NY",64,3.6141,0.027379545
254 Niagara 68 160 Brown 65 [76],"Sunday, December 29, 2013 2:00 pm ET Gallagher Center Niagara, NY",76,4.1597,0.027366447
127 Portland 93 59 Princeton 79 [69],"Saturday, December 21, 2013 11:00 pm ET South Point Arena Las Vegas, NV",69,3.8582,0.027363121
136 Eastern Kentucky 74 281 Tennessee Tech 67 [60],"Thursday, February 27, 2014 7:30 pm ET McBrayer Arena Richmond, KY",60,3.3379,0.027359836
257 Troy 79 241 South Alabama 74 [68],"Thursday, February 6, 2014 8:30 pm ET Trojan Arena Troy, AL",68,3.7178,0.027336765
115 American 55 111 Boston University 36 [56],"Wednesday, March 12, 2014 7:30 pm ET Case Gym Boston, MA",56,3.1406,0.027309565
222 Cal St. Fullerton 59 314 Sacramento St. 51 [63],"Saturday, December 21, 2013 6:05 pm ET Titan Gym Fullerton, CA",63,3.4658,0.027289764
282 Texas St. 70 267 Tulane 52 [60],"Friday, November 29, 2013 5:00 pm ET Puerto Vallarta ICC Puerto Vallarta, Mexico",60,3.4096,0.0272768
265 East Tennessee St. 66 134 Stephen F. Austin 58 [64],"Saturday, November 23, 2013 4:00 pm ET MSHA Athletic Center Johnson City, TN",64,3.5724,0.027270229
261 Miami OH 79 279 Tennessee St. 64 [64],"Saturday, December 21, 2013 5:00 pm ET Gentry Center Nashville, TN",64,3.4615,0.027255906
65 Dayton 86 44 Massachusetts 79 [71],"Saturday, March 1, 2014 11:00 am ET University of Dayton Arena Dayton, OH",71,3.9505,0.027244828
58 Butler 85 71 Vanderbilt 77  (OT) [76],"Tuesday, November 19, 2013 6:00 pm ET Hinkle Fieldhouse Indianapolis, IN",76,4.1398,0.027235526
27 Iowa St. 85 29 Texas 76 [72],"Tuesday, February 18, 2014 7:00 pm ET Hilton Coliseum Ames, IA",72,3.9217,0.027234028
271 Penn 68 109 Columbia 60 [64],"Saturday, February 8, 2014 7:00 pm ET Palestra Philadelphia, PA",64,3.5385,0.027219231
177 Towson 80 109 Drexel 68 [66],"Tuesday, January 14, 2014 7:00 pm ET Daskalakis Center Philadelphia, PA",66,3.6191,0.027211278
131 Arkansas St. 73 261 Texas St. 68 [67],"Saturday, February 22, 2014 8:05 pm ET Convocation Center Jonesboro, AR",67,3.7235,0.027178832
17 Wisconsin 75 12 Michigan 62 [60],"Sunday, February 16, 2014 1:00 pm ET Crisler Center Ann Arbor, MI",60,3.2609,0.027174167
242 Mississippi St. 82 104 Vanderbilt 68 [67],"Wednesday, March 12, 2014 9:25 pm ET Georgia Dome Atlanta, GA",67,3.5323,0.027171538
309 Sacred Heart 72 211 Mount St. Mary's 65 [70],"Thursday, February 27, 2014 7:00 pm ET Knott Arena Emmitsburg, MD",70,3.7758,0.027164029
303 Jacksonville 71 339 Kennesaw St. 69 [72],"Thursday, February 27, 2014 7:00 pm ET KSU Convocation Center Kennesaw, GA",72,3.989,0.027136054
18 Kentucky 74 23 Tennessee 66 [62],"Saturday, January 18, 2014 12:00 pm ET Rupp Arena Lexington, KY",62,3.3093,0.02712541
75 Southern Miss 77 174 Rhode Island 64 [66],"Saturday, December 28, 2013 2:00 pm ET Ryan Center Kingston, RI",66,3.6616,0.027122963
131 South Dakota St. 78 123 Denver 69 [68],"Thursday, February 27, 2014 8:00 pm ET Frost Arena Brookings, SD",68,3.7695,0.027118705
290 Troy 98 147 Arkansas St. 84 [77],"Thursday, January 9, 2014 8:05 pm ET Convocation Center Jonesboro, AR",77,4.1485,0.027114379
83 Ohio 58 113 Eastern Michigan 56 [63],"Saturday, January 25, 2014 11:00 am ET Convocation Center Ypsilanti, MI",63,3.5787,0.027111364
183 Loyola MD 59 211 Fairfield 52 [62],"Saturday, November 16, 2013 8:00 pm ET Reitz Arena Baltimore, MD",62,3.3061,0.02709918
235 North Carolina Central 62 255 Campbell 43 [56],"Monday, November 18, 2013 7:00 pm ET Pope Convocation Center Buies Creek, NC",56,3.0866,0.027075439
158 Western Michigan 73 99 Ohio 63 [64],"Wednesday, February 19, 2014 7:00 pm ET Convocation Center Athens, OH",64,3.5682,0.027031818
236 Utah Valley 82 214 Cal St. Bakersfield 74 [65],"Saturday, January 4, 2014 10:00 pm ET Rabobank Arena Bakersfield, CA",65,3.5676,0.027027273
224 Eastern Washington 69 201 Montana 62 [62],"Thursday, January 9, 2014 9:05 pm ET Reese Court Cheney, WA",62,3.4312,0.027017323
258 Cal St. Bakersfield 74 150 Nevada 66 [64],"Monday, November 18, 2013 10:00 pm ET Rabobank Arena Bakersfield, CA",64,3.4569,0.027007031
195 Northeastern 79 267 UNC Wilmington 68  (OT) [74],"Wednesday, January 8, 2014 7:00 pm ET Matthews Arena Boston, MA",74,4.0747,0.026984768
270 LIU Brooklyn 96 281 NJIT 93 [74],"Thursday, December 12, 2013 7:00 pm ET Fleisher Center Newark, NJ",74,3.9107,0.026970345
138 Portland 92 279 Portland St. 76 [74],"Saturday, December 7, 2013 10:05 pm ET Peter W Stott Center Portland, OR",74,3.9374,0.026968493
280 Norfolk St. 64 202 Morgan St. 53 [62],"Saturday, February 8, 2014 4:00 pm ET Hill Field House Baltimore, MD",62,3.3979,0.02696746
201 Holy Cross 63 227 Fairfield 49 [61],"Wednesday, November 20, 2013 7:00 pm ET Webster Bank Arena at Harbor Yard Bridgeport, CT",61,3.3974,0.026963492
151 Duquesne 81 117 George Mason 69 [66],"Saturday, March 8, 2014 7:00 pm ET Patriot Center Fairfax, VA",66,3.5045,0.026957692
142 Georgia 66 65 Alabama 58 [66],"Saturday, January 11, 2014 4:00 pm ET Stegeman Coliseum Athens, GA",66,3.5845,0.026951128
253 Cal St. Fullerton 78 177 Pepperdine 64 [66],"Wednesday, December 4, 2013 10:00 pm ET Firestone Fieldhouse Malibu, CA",66,3.6636,0.026938235
65 Mississippi 72 106 Middle Tennessee 63 [64],"Saturday, December 14, 2013 5:00 pm ET C.M. 'Tad' Smith Coliseum Oxford, MS",64,3.5557,0.026937121
92 Manhattan 77 221 UNC Wilmington 72 [70],"Sunday, December 15, 2013 2:00 pm ET Trask Coliseum Wilmington, NC",70,3.8519,0.026936364
21 San Diego St. 73 76 New Mexico St. 69  (OT) [73],"Thursday, March 20, 2014 9:57 pm ET Veterans Memorial Arena Spokane, WA",73,3.9319,0.026930822
64 Belmont 85 279 Hofstra 75 [68],"Sunday, November 24, 2013 8:00 pm ET Mohegan Sun Arena Uncasville, CT",68,3.7421,0.026921583
205 Bryant 87 248 Dartmouth 77 [70],"Wednesday, November 13, 2013 7:00 pm ET Leede Arena Hanover, NH",70,3.6872,0.026913869
29 Massachusetts 62 27 Clemson 56 [66],"Sunday, November 24, 2013 9:00 pm ET TD Arena Charleston, SC",66,3.605,0.026902985
196 Sam Houston St. 70 178 Oral Roberts 61 [58],"Thursday, March 13, 2014 8:30 pm ET Leonard E. Merrell Center Katy, TX",58,3.065,0.026885965
231 Northwestern St. 76 322 Central Arkansas 68 [71],"Thursday, January 23, 2014 8:00 pm ET Farris Center Conway, AR",71,3.7627,0.026876429
67 Boise St. 84 133 Colorado St. 72 [64],"Tuesday, February 18, 2014 9:00 pm ET Moby Arena Fort Collins, CO",64,3.4368,0.02685
95 Saint Joseph's 75 56 Drexel 55 [65],"Wednesday, December 18, 2013 7:00 pm ET Hagan Arena Philadelphia, PA",65,3.4356,0.026840625
10 Virginia 64 114 Georgia Tech 45 [60],"Saturday, February 8, 2014 12:00 pm ET McCamish Pavilion Atlanta, GA",60,3.2206,0.026838333
240 Grand Canyon 72 254 UMKC 53 [63],"Saturday, February 1, 2014 8:05 pm ET Municipal Auditorium Kansas City, MO",63,3.4603,0.026824031
151 Texas Tech 80 205 Texas Southern 71 [65],"Monday, November 18, 2013 9:00 pm ET United Spirit Arena Lubbock, TX",65,3.433,0.026820313
105 Oregon St. 66 168 Washington St. 55 [59],"Wednesday, January 22, 2014 10:00 pm ET Friel Court Pullman, WA",59,3.2438,0.026808264
214 Winthrop 76 262 East Tennessee St. 66 [70],"Tuesday, November 19, 2013 7:00 pm ET MSHA Athletic Center Johnson City, TN",70,3.86,0.026805556
316 Montana St. 72 121 Portland 69 [72],"Sunday, December 15, 2013 5:00 pm ET Chiles Center Portland, OR",72,3.9131,0.026802055
213 UT Arlington 73 222 South Alabama 65 [63],"Saturday, January 25, 2014 8:30 pm ET College Park Center Arlington, TX",63,3.402,0.026787402
117 Wake Forest 81 92 Notre Dame 69 [66],"Wednesday, March 12, 2014 1:00 pm ET Greensboro Coliseum Greensboro, NC",66,3.5623,0.026784211
10 Michigan 84 69 Indiana 80 [65],"Saturday, March 8, 2014 6:00 pm ET Crisler Center Ann Arbor, MI",65,3.5348,0.026778788
234 Radford 102 232 UNC Asheville 92 [83],"Thursday, February 13, 2014 7:00 pm ET Dedmon Center Radford, VA",83,4.5227,0.026761538
187 Illinois St. 68 81 Northwestern 64 [69],"Sunday, November 17, 2013 8:30 pm ET Welsh-Ryan Arena Evanston, IL",69,3.7178,0.026746763
343 UTSA 90 186 Marshall 81 [76],"Thursday, January 9, 2014 8:00 pm ET UTSA Convocation Center San Antonio, TX",76,4.1452,0.026743226
223 Lafayette 77 201 Wagner 65 [69],"Tuesday, December 3, 2013 7:00 pm ET Spiro Sports Center Staten Island, NY",69,3.5827,0.026736567
115 Georgia 62 156 Texas A&M 50 [57],"Saturday, February 8, 2014 8:00 pm ET Stegeman Coliseum Athens, GA",57,3.1014,0.026736207
207 Rider 77 230 Monmouth 71  (OT) [76],"Sunday, January 26, 2014 4:00 pm ET Alumni Gymnasium Lawrenceville, NJ",76,4.1171,0.026734416
170 William & Mary 54 289 UNC Wilmington 50 [58],"Wednesday, February 5, 2014 7:00 pm ET Raiford G. Trask Coliseum Wilmington, NC",58,3.1274,0.026729915
17 Wisconsin 48 13 Virginia 38 [57],"Wednesday, December 4, 2013 7:00 pm ET John Paul Jones Arena Charlottesville, VA",57,2.9397,0.026724545
7 Duke 63 53 Clemson 62 [56],"Friday, March 14, 2014 9:00 pm ET Greensboro Coliseum Greensboro, NC",56,3.072,0.026713043
56 Butler 76 87 Purdue 70 [73],"Saturday, December 14, 2013 6:00 pm ET Bankers Life Fieldhouse Indianapolis, IN",73,3.9771,0.026691946
221 Weber St. 65 230 Idaho St. 59 [58],"Monday, January 20, 2014 9:00 pm ET Dee Events Center Ogden, UT",58,3.1214,0.026678632
83 UC Santa Barbara 61 271 Western Illinois 55 [63],"Saturday, December 21, 2013 7:30 pm ET Dee Glen Smith Spectrum Logan, UT",63,3.4677,0.026674615
304 Tennessee Tech 81 110 Belmont 76 [83],"Saturday, February 1, 2014 8:30 pm ET Hooper Eblen Arena Cookeville, TN",83,4.5345,0.026673529
221 Coastal Carolina 76 218 Western Carolina 68 [74],"Wednesday, December 4, 2013 7:00 pm ET HTC Center Conway, SC",74,3.8933,0.026666438
266 Eastern Illinois 86 256 Illinois Chicago 66 [68],"Saturday, November 16, 2013 4:00 pm ET UIC Pavilion Chicago, IL",68,3.5711,0.02665
168 San Francisco 72 153 Vermont 61 [64],"Friday, November 29, 2013 9:00 pm ET War Memorial Gymnasium San Francisco, CA",64,3.4642,0.026647692
11 Pittsburgh 74 77 North Carolina St. 62 [66],"Saturday, January 4, 2014 12:00 pm ET PNC Arena Raleigh, NC",66,3.5435,0.026642857
258 High Point 76 250 Charleston Southern 70 [62],"Monday, February 17, 2014 7:00 pm ET Millis Center High Point, NC",62,3.355,0.026626984
292 Texas St. 61 213 Louisiana Monroe 36 [55],"Saturday, January 11, 2014 5:00 pm ET Fant-Ewing Coliseum Monroe, LA",55,2.8476,0.026613084
223 South Dakota 64 251 Western Illinois 54 [59],"Saturday, February 22, 2014 5:00 pm ET DakotaDome Vermillion, SD",59,3.1105,0.02658547
219 Mount St. Mary's 72 197 St. Francis NY 71 [73],"Wednesday, March 5, 2014 7:00 pm ET Knott Arena Emmitsburg, MD",73,3.8793,0.026570548
182 Columbia 70 219 North Texas 66 [68],"Thursday, November 21, 2013 5:00 pm ET Chiles Center Portland, OR",68,3.5054,0.026556061
150 Evansville 84 289 IUPUI 78 [66],"Tuesday, November 12, 2013 7:00 pm ET IUPUI Gymnasium Indianapolis, IN",66,3.6111,0.026552206
85 Cleveland St. 63 147 Valparaiso 52 [62],"Saturday, March 1, 2014 4:00 pm ET Athletics-Recreation Center Valparaiso, IN",62,3.3446,0.026544444
169 Detroit 74 281 Illinois Chicago 68 [69],"Wednesday, January 29, 2014 7:00 pm ET Calihan Hall Detroit, MI",69,3.6084,0.026532353
